<ID> ,ratio[0]                ,ratio[1]                ,ratio[2]                ,ratio[3]                ,ratio[4]                ,ratio[5]                ,ratio[6]                ,ratio[7]                ,ratio[8]                ,ratio[9]                ,ratio[10]               ,ratio[11]               ,ratio[12]               ,ratio[13]               ,ratio[14]               ,ratio[15]               ,Cx,CY,CZ,CMx,CMY,CMZ
192,-0.15320949,-0.189371241,-0.006561895,0.037796286,-0.190789441,-0.117595317,-0.071789717,-0.00224228,-0.006473006,0.004150009,-0.074765623,0.010202648,-0.027021328,-0.04064969,-0.007386056,15.64762939,0.015740503,0.070594654,-0.023600798,-0.011235088,0.017197297,0.046393587
193,-0.152534554,-0.014047214,-0.088498638,-0.089591831,-0.047925038,-0.002430753,-0.052313698,-0.024114361,-0.072001583,0.014407943,-0.067327182,-0.047732006,0.016056116,0.010523335,0.013701412,6.88165193,0.017524532,0.081189755,-0.025112131,-0.015045725,0.01976001,0.056296539
194,-0.160608175,-0.01966044,-0.142993968,-0.169264349,-0.025142242,-0.186496179,-0.007145606,-0.092236593,-0.047032835,-0.002886155,-0.046235618,-0.050122786,0.008279656,-0.013823981,-0.038672607,18.30523158,0.015343419,0.067315113,-0.022984162,-0.01010909,0.01659423,0.043835228
195,-0.071403626,-0.112642145,-0.157324202,-0.114995166,-0.198173167,-0.056397032,-0.114560412,-0.089719022,-0.015989155,-0.047085109,-0.027446957,-0.023233494,-0.041332307,-0.027320625,-0.032958766,11.05783822,0.017351457,0.07339863,-0.024435856,-0.012348168,0.018027033,0.047665685
196,-0.174405352,0.044771481,-0.073700948,0.049149851,-0.15103635,-0.023481055,-0.07104332,-0.01208491,-0.119293877,-0.075224275,-0.055005646,-0.041996328,-0.007546302,-0.057475852,-0.037424246,8.26608981,0.01823776,0.080295451,-0.025690794,-0.014111816,0.020339164,0.054811115
197,-0.124144279,-0.053340039,-0.047817654,-0.179197246,-0.080464457,-0.167104885,-0.028479781,-0.08263081,-0.118602489,-0.051477643,0.007483655,-0.052989695,-0.057216098,-0.043678806,-0.041228021,3.026400129,0.020153172,0.084153888,-0.026321251,-0.016201172,0.020984102,0.057199437
198,-0.090605444,-0.020862359,-0.039622556,-0.100834453,-0.074749297,-0.045562097,-0.07322158,-0.020916607,-0.002644601,-0.010175711,-0.016068979,0.016482666,-0.019158946,-0.012471163,0.007031313,4.905306528,0.017542464,0.081806872,-0.024493689,-0.015260366,0.019262531,0.056721421
199,-0.115062653,0.004602228,-0.083062206,-0.019787126,-0.072153734,-0.154057349,-0.031911619,-0.086564796,-0.09546092,-0.026107558,-0.058259642,-0.02201209,-0.040228365,-0.030089434,0.018943618,15.74796348,0.016206689,0.072652014,-0.023887498,-0.011266256,0.017831891,0.048186562
200,0.027323314,0.039160959,-0.13860683,0.01103548,0.046959131,-0.046269451,0.007065933,-0.005157383,-0.026395337,-0.036705667,0.000297712,-0.076343735,-0.033036981,-0.009994894,-0.033497702,19.47020035,0.015412724,0.072534386,-0.024848449,-0.010783218,0.018978073,0.049511693
201,0.021827594,0.033384928,-0.176827882,-0.007513923,-0.178471631,-0.017147317,-0.108890068,-0.119015466,-0.007238146,-0.055876886,0.009601591,-0.042043456,-0.011752426,0.008313075,-0.052185347,12.29062067,0.017884803,0.07761333,-0.024923427,-0.012870827,0.019070561,0.051884449
202,-0.199387847,-0.194016876,-0.12924559,0.037454885,-0.025808254,-0.14720245,-0.020713643,0.002083613,-0.053316736,-0.059580899,0.014485632,-0.073646512,-0.056856382,0.002429355,-0.038340601,7.18616561,0.018558123,0.080365978,-0.025890008,-0.014937994,0.020329083,0.054872231
203,-0.052752276,-0.023326401,0.048266562,-0.110149627,-0.15982058,-0.099226666,-0.010753434,-0.041781141,-0.090107479,0.006624895,-0.076647431,0.011916644,-0.026155791,-0.048353865,-0.055486705,15.17767948,0.015963613,0.07274408,-0.023835927,-0.011418741,0.017964211,0.048522009
204,-0.190902561,0.019010258,-0.005991078,-0.183662167,-0.163210111,-0.032277408,-0.049153743,-0.118039316,0.008673067,-0.034987095,-0.007626763,0.012812767,-0.018704471,-0.001678841,-0.030306236,8.780908778,0.017098695,0.075079359,-0.02439113,-0.013033643,0.018446306,0.050793229
205,0.023817413,-0.129889139,-0.039349735,0.031748492,-0.008226674,-0.182170805,-0.039387926,-0.045874779,-0.051381669,0.001791736,-0.079529826,0.000336207,-0.051954467,-0.003850168,-0.003373325,19.59894743,0.015440033,0.070776038,-0.023657397,-0.010419895,0.01736305,0.046719393
206,-0.0163359,-0.090082321,0.026759291,-0.092566711,-0.171899494,0.04651935,-0.061882592,0.01197062,0.005736072,-0.016154892,-0.040365566,-0.004297809,-0.026820628,-0.043179742,-0.012762514,1.932184985,0.019435938,0.086772296,-0.025934103,-0.016903238,0.02101706,0.060553447
207,-0.079116164,-0.130235842,0.02735063,-0.101703143,-0.136875328,-0.101052689,-0.099555241,-0.056594026,-0.058024901,-0.048276197,-0.001677421,-0.008219888,-0.020630417,0.009306946,-0.026210219,18.66381067,0.014959251,0.066554407,-0.022412301,-0.009587985,0.016054126,0.043030228
208,-0.099704589,-0.032528529,-0.126862358,-0.021353445,-0.188006052,-0.159304993,-0.080614031,-0.009211654,-0.070753228,-0.018503328,-0.071576834,-0.034241198,-0.014249844,-0.001940808,-0.051776486,19.62484991,0.015310095,0.067349772,-0.02237219,-0.009928029,0.01606694,0.043205567
209,-0.192983139,-0.004643502,-0.139503991,0.006008505,-0.096589219,-0.121143367,-0.072567555,-0.067852258,-0.043918136,-0.007088409,-0.040840449,0.00825389,-0.05419414,-0.052885815,0.010603726,13.51881475,0.016250162,0.07271186,-0.023780414,-0.011780793,0.017819721,0.048303847
210,-0.197518044,-0.160970737,-0.111540291,-0.146721018,-0.14066375,-0.113964603,-0.004942492,-0.007594897,-0.109788516,-0.075324744,-0.059013164,-0.06704,-0.03666282,-0.055678951,-0.058355009,17.20669275,0.015543594,0.06611176,-0.02305613,-0.010133416,0.016464198,0.042163796
211,-0.106324758,-0.170002792,-0.189890413,-0.172912135,-0.128436912,-0.005951572,-0.034913017,-0.062103439,0.014859097,-0.008203591,-0.047481856,0.005685206,-0.033943852,-0.002265805,-0.047434956,12.38096883,0.016156985,0.071221051,-0.023497751,-0.012054081,0.017239427,0.046708355
212,-0.10974037,0.041212812,-0.094836215,-0.141518003,-0.139082348,-0.051603131,0.012214661,0.003336562,-0.088398874,-0.050333233,-0.061319935,-0.0564268,-0.027801122,-0.022746771,-0.010620834,13.9241152,0.01588742,0.072420691,-0.023446032,-0.011612517,0.017622537,0.048290923
213,-0.146152178,0.016410833,-0.013398998,-0.111485835,0.010644244,-0.161884491,-0.103188894,-0.017634015,-0.029718792,-0.053335843,-0.065299968,-0.008840657,0.009148399,-0.056016786,0.000454687,18.89955143,0.015084537,0.066917376,-0.023189333,-0.009504561,0.017049336,0.044196602
214,0.044572309,-0.130638806,-0.101811191,-0.049554999,-0.057020489,-0.082160545,-0.080923332,-0.011788928,-0.105477249,-0.020455602,-0.032608568,-0.071884023,-0.010503639,-0.054298686,-0.014437345,17.01560278,0.015954392,0.072315415,-0.024175921,-0.011209748,0.017950279,0.04770815
215,-0.118884447,-0.154488537,-0.015651463,-0.152941539,-0.041622941,0.017489098,-0.094333656,-0.11747929,-0.01447964,-0.052429594,-0.064552377,-0.007102394,-0.010049658,-0.037337342,-0.047877269,0.998861072,0.020693064,0.085457575,-0.027764632,-0.017076907,0.02256462,0.05873061
216,-0.007186466,0.021033967,-0.014774491,-0.018897376,-0.071023825,-0.079723998,0.014169637,-0.04543731,-0.030910054,0.012913998,-0.026123687,0.01710883,0.018542482,-0.015289202,-0.017403425,3.450277254,0.018423202,0.087803962,-0.025019945,-0.016815397,0.020210243,0.061991894
217,-0.118717878,-0.046335775,-0.147518705,-0.12550246,-0.046933803,-0.007321914,-0.11014427,-0.064399254,-0.087580707,-0.066484232,-0.010219024,-0.044211831,-0.024907996,-0.020610996,-0.035748082,13.55079335,0.01600395,0.070864881,-0.024069797,-0.011248975,0.017973661,0.046749213
218,-0.059040936,0.032064001,-0.115705185,-0.030425741,-0.115089846,-0.115719786,-0.105706455,0.008481269,0.017946048,-0.032792861,0.019362422,-0.025185861,-0.044979858,0.01590663,-0.011014903,2.205142192,0.019579786,0.086629861,-0.025357942,-0.016756255,0.020315763,0.060170321
219,0.003214502,-0.042544041,0.020492483,-0.056094115,0.015672217,-0.073660342,-0.088303756,-0.01937119,-0.002984616,0.00107781,0.000686324,-0.069328889,-0.011211575,0.012964189,-0.030585694,0.679090883,0.019831665,0.090563114,-0.02572762,-0.018032918,0.021359681,0.064323011
220,-0.103865118,-0.031954567,-0.027811215,-0.054307706,-0.173347938,0.035691534,-0.045019027,-0.045491617,-0.060626323,0.0157749,0.000839426,-0.077450441,0.007696823,-0.042951233,-0.013208366,11.92730514,0.016708293,0.07660958,-0.024821327,-0.013062515,0.019204464,0.052283549
221,-0.056216359,0.001711421,-0.192675596,-0.045308839,-0.055713567,-0.078991691,-0.112149284,-0.036715315,0.019266324,-0.038361545,-0.071207187,0.015210146,-0.040956163,0.005541707,-0.003691315,9.064955568,0.01767391,0.077971208,-0.025330247,-0.013474449,0.019536043,0.052703642
222,-0.120846041,-0.009201342,-0.050574373,-0.197456128,0.002919484,-0.049396102,-0.060735846,-0.040574913,-0.021767385,0.007482122,-0.005550309,-0.019474335,-0.015826293,-0.021867034,-0.007534847,8.978186246,0.016563222,0.076744637,-0.024362565,-0.013340362,0.018654485,0.052683433
223,0.04908951,-0.118511019,-0.059928358,-0.05301751,-0.185183589,-0.112456009,-0.019933187,-0.025733951,-0.055338102,0.004433755,-0.035609721,-0.051800101,-0.011490641,-0.036650526,0.011024966,2.760875726,0.019896161,0.089052542,-0.026003959,-0.017754094,0.020586577,0.061246232
224,-0.17162146,-0.128855523,-0.124505469,-0.109848747,-0.125017534,-0.124220544,-0.042989329,-0.111853618,-0.029072331,-0.025200976,0.003352936,-0.026181204,-0.048661446,-0.053423769,0.019036076,14.64705921,0.01570212,0.068817352,-0.0229984,-0.011003192,0.016535259,0.044485636
225,0.000578931,0.020314922,-0.012620267,0.00399701,-0.052026705,-0.005288823,-0.051032895,-0.049448148,-0.018156122,-0.072976289,-0.02240107,-0.063375152,-0.054815164,0.015531452,-0.015997513,1.664041999,0.02002571,0.088925439,-0.026714605,-0.016968573,0.022192718,0.062442442
226,-0.037181453,-0.141176567,-0.153637727,-0.070578389,-0.058654221,-0.191995324,-0.062144929,-0.069299945,-0.01516757,-0.031433411,-0.066031004,0.008770284,0.018092204,0.003321045,0.012807535,17.07011113,0.015638857,0.070039958,-0.023362181,-0.010861311,0.016796358,0.045487355
227,-0.188182754,-0.038198999,-0.09433527,-0.042349481,-0.104810688,-0.187085515,-0.030868598,-0.019744231,-0.001757751,-0.025833362,-0.005971289,-0.038875237,0.011213489,-0.047747433,-0.052206295,4.311735546,0.018646874,0.083716488,-0.024725611,-0.016289852,0.019441899,0.057692324
228,-0.101308063,-0.062120406,-0.081893131,-0.099332304,0.021723178,-0.111517015,0.011798799,-0.028789586,0.001301059,-0.042969814,-0.013189974,0.009596312,-0.001900737,-0.05550303,0.010133397,15.0822943,0.01521098,0.071377205,-0.023542093,-0.011316978,0.01772191,0.048084395
229,-0.001237882,-0.136773824,0.049994054,-0.047773551,-0.140594582,-0.177379157,-0.089746349,-0.000922515,-0.028673933,-0.023238399,-0.077268446,-0.07455464,-0.040738694,-0.046103586,-0.04179103,7.106295211,0.018999456,0.082576652,-0.025866533,-0.015039903,0.020251072,0.056023737
230,-0.13268994,0.038460225,-0.015212033,-0.081775361,0.023064349,0.008142357,-0.073954598,-0.09141696,-0.054527532,-0.052739501,-0.017592077,0.003603834,0.015293412,-0.020813549,-0.0244513,12.84865882,0.015979412,0.074108166,-0.024501797,-0.011753034,0.018873446,0.050888513
231,0.026316551,-0.027333117,-0.023273164,-0.026140774,-0.105400463,-0.191152893,-0.034444046,-0.084624537,-0.119610651,-0.030249844,-0.033995733,-0.075844023,-0.01116802,-0.049521986,-0.030917838,13.32052494,0.017965083,0.078914829,-0.025435673,-0.013013323,0.019526294,0.053022174
232,-0.117581437,0.002681947,-0.163713385,-0.133647926,-0.118532754,-0.054166357,-0.037967729,-0.092823637,0.008071989,-0.075721015,-0.059964516,-0.029357861,-0.045074333,-0.004592277,-0.025570284,6.795527945,0.018212124,0.077995555,-0.025367189,-0.013998948,0.019660023,0.052267097
233,-0.116214335,-0.176857745,0.034358249,0.004578379,0.033489835,0.003659392,0.013502536,-0.099371812,-0.080290565,-0.017930278,-0.042588463,0.009760437,-0.050092723,-0.003265971,-0.041524275,18.07310113,0.015044426,0.06995573,-0.023273491,-0.010376991,0.017579276,0.047135147
234,-0.17332743,0.022864572,-0.185157716,-0.083557155,-0.194405286,-0.048497212,-0.10444413,-0.093777283,-0.096450737,-0.046469181,-0.000691672,-0.058582131,0.002667851,-0.018085642,-0.025352095,5.593079899,0.01902322,0.081061508,-0.025623285,-0.01525604,0.019840993,0.054486891
235,-0.054156489,-0.158798574,-0.172868268,-0.085757558,-0.123801843,-0.043196281,-0.032825141,-0.008198745,-0.108611736,-0.061544698,-0.013608598,-0.00621954,-0.004629007,-0.058335609,-0.02276405,11.71618759,0.016673316,0.074586898,-0.024649448,-0.012715003,0.018369843,0.049306239
236,-0.054785542,0.025731216,0.008312378,-0.191650953,-0.032011975,-0.002829611,-0.115740039,-0.027947783,-0.031184571,0.0173295,-0.070039129,-0.054220554,-0.023079038,0.015740978,-0.04665811,5.847745441,0.018659124,0.082254596,-0.02631214,-0.015165427,0.021164295,0.057327255
237,-0.153819555,-0.175148097,-0.022957833,-0.13748208,-0.043443311,-0.057263029,-0.055745832,0.003884751,-0.059963245,-0.004083001,-0.054603762,0.012713466,0.012055646,-0.024059281,-0.015751304,6.921162946,0.017299451,0.078690482,-0.024707491,-0.014589459,0.019033857,0.053880749
238,-0.097031245,-0.155658181,0.022862583,-0.074423936,-0.040641142,-0.027767942,-0.116722106,-0.084929444,-0.076817549,0.01157391,-0.071252928,-0.039738048,-0.013914061,-0.037670411,-0.056428761,13.41577914,0.016549746,0.073798556,-0.024679098,-0.012005958,0.018854441,0.049535571
239,-0.166327445,-0.165655279,-0.145779772,-0.018269161,-0.148852025,0.010273658,-0.064309471,0.015971558,-0.057217406,0.002131348,-0.070392013,-0.077800621,-0.001387647,-0.006489141,-0.059850126,0.756304953,0.021008787,0.088833214,-0.026324395,-0.018706004,0.021687125,0.061582513
240,-0.116490472,0.038039554,-0.091927644,-0.143123023,0.010095965,-0.176012069,-0.081518774,-0.107681111,-0.043184239,0.003149601,-0.076391922,-0.057247705,0.011948646,-0.052157821,-0.023598628,0.158716433,0.022154339,0.090819217,-0.027767913,-0.018680881,0.023090392,0.063190069
241,-0.033988488,0.015897183,0.027901142,-0.065916006,-0.020283748,0.035298811,-0.043515746,-0.073940062,-0.055098892,-0.064503749,-0.001837658,0.007933018,-0.039051721,-0.035207366,-0.058633952,8.329245772,0.017462417,0.080069098,-0.025560569,-0.013630511,0.020480401,0.055700444
242,-0.163728754,-0.073265039,-0.06364275,-0.145688679,-0.121764261,-0.161828752,-0.027929741,-0.111136373,-0.032016766,-0.018902831,-0.010806183,-0.052099961,-0.031762582,-0.046496688,0.013176032,6.964835049,0.017793177,0.078342591,-0.024745547,-0.014360974,0.018767721,0.052543284
243,0.046339039,-0.179360173,-0.136208422,-0.19344708,-0.010452888,-0.193224861,-0.09686971,-0.098121736,0.017813743,-0.025710749,-0.012556607,-0.002905755,-0.042810995,-0.005775145,-0.01296496,4.044891941,0.019323011,0.083128795,-0.025804741,-0.015786536,0.019773524,0.05591673
244,-0.164895198,0.006180993,-0.009972134,-0.005167719,-0.158529865,-0.072863519,-0.066516408,0.004943966,-0.028432553,-0.070938286,0.002317617,0.010499126,-0.018984896,-0.034418766,-0.049702722,5.160687748,0.0181085,0.081521838,-0.025035389,-0.015055247,0.019820717,0.056220734
245,-0.038514955,-0.17077962,-0.088934464,-0.180483638,-0.163839492,-0.029044407,-0.003597085,-0.083798667,0.010355721,-0.048143166,-0.073418397,-0.046605356,-0.050473847,-0.031974152,-0.016344726,2.142767957,0.02034138,0.084486034,-0.02643295,-0.016680431,0.021038773,0.057023385
246,-0.041853878,-0.011467358,-0.034762344,-0.144442125,-0.143866741,-0.041371167,-0.053743901,-0.013121164,-0.107330682,-0.032309761,0.006267558,-0.003851006,-0.058337421,-0.020023004,-0.009302626,10.83809877,0.016610984,0.075348743,-0.024314103,-0.01253629,0.0185534,0.050630029
247,0.020304047,0.029959861,-0.167321057,-0.163437908,-0.157721844,-0.198635893,-0.03526652,0.007534294,-0.114607111,-0.064351234,-0.006002126,-0.05120513,0.005008786,0.017579317,-0.027908924,1.858960869,0.021529804,0.089537672,-0.026551018,-0.017740139,0.021402725,0.061383852
248,-0.061916666,-0.16778541,-0.183719959,-0.113939355,-0.170375392,-0.190471329,-0.008050656,-0.023384342,-0.110436384,-0.03782066,-0.052399832,-0.055581273,-0.03924907,-0.011623094,-0.036144147,1.06939513,0.021618904,0.08856211,-0.026888264,-0.018123095,0.021342533,0.059834487
249,-0.065347921,-0.12659464,-0.124151432,-0.189049043,-0.135865789,-0.142539362,-0.046409992,-0.052554967,-0.093338084,-3.55E-05,-0.049702933,-0.047263097,-0.020829753,-0.053160939,-0.02079107,3.273177388,0.019943702,0.084855043,-0.026112178,-0.016812906,0.020476649,0.057229278
250,0.026189472,-0.089816463,0.031532845,-0.188260592,-0.18041018,-0.156046832,-0.111061691,-0.117055121,-0.065744249,-0.059108772,-0.051507542,-0.067280085,-0.031452091,-0.022127653,-0.03229846,9.449098887,0.018566607,0.077354128,-0.025582123,-0.013183893,0.019360238,0.050851664
251,-0.02555407,-0.084880196,-0.100937554,-0.017175828,-0.13831453,-0.163916094,-0.063266357,-0.039410345,-0.00164,-0.014378192,-0.004006883,-0.033578621,-0.044525889,-0.045283125,-0.004989273,4.138130659,0.019009273,0.085055476,-0.025287944,-0.016265651,0.019709773,0.058025968
252,-0.098873627,-0.153627041,0.010603791,-0.131735822,-0.059978714,-0.007654814,0.010390074,-0.005685203,-0.056075809,-0.011026127,-0.021357055,-0.056797754,-0.016416556,-0.013739884,-8.40E-05,19.97070164,0.014110378,0.065640394,-0.02241906,-0.009436726,0.016331662,0.043166926
253,0.045305873,-0.187991819,-0.137097316,-0.055588275,-0.082985919,-0.150004464,-0.067557015,-0.100480649,-0.050277764,0.011309559,-0.056544709,-0.055903676,-0.057727688,0.019225265,-0.037627184,3.642400461,0.020639812,0.087870657,-0.02742495,-0.01727018,0.021616129,0.059590421
254,-0.011003777,-0.125094044,-0.116652025,-0.088485975,-0.122076697,-0.163542448,-0.080442805,-0.034414866,-0.039530683,-0.060875597,-0.07518168,-0.009458532,-0.032459371,-0.041887205,-0.048897009,7.211688118,0.01878525,0.079971761,-0.02605799,-0.014464314,0.020017923,0.053221188
255,-0.044864447,-0.127354888,-0.110755429,-0.040294839,-0.008851858,-0.074686617,-0.108124436,-0.059275787,-0.072928392,-0.046710642,-0.04240771,0.001344632,0.013637918,-0.039593821,-0.030113115,6.421001691,0.018184953,0.081872087,-0.025914593,-0.015079226,0.020253657,0.055723957
256,-0.188107255,-0.007986557,0.048973148,0.02915801,-0.082280505,-0.158156205,-0.039147135,0.019658603,-0.00768769,0.018356598,-0.068383526,-0.002737411,-0.052965935,-0.028881564,-0.034348575,11.13772324,0.016448377,0.077079944,-0.023887757,-0.013036611,0.018460309,0.053070625
257,-0.095432879,0.014728488,-0.127554179,0.024677627,-0.197355378,-0.07145497,-0.054576326,-0.10861097,-0.049781703,0.001438248,-0.057453445,-0.01453378,0.000141788,-0.020258988,-0.05194244,8.625688644,0.01851896,0.081585219,-0.025730204,-0.014826453,0.020045067,0.055315359
258,-0.10765153,-0.106701016,-0.046795658,-0.014296048,0.039165907,-0.073919638,0.014640223,-0.047777979,-0.069677328,0.017842829,-0.010578231,-0.012111064,-0.058612827,-0.009592351,-0.005557834,11.85426385,0.016130059,0.076940527,-0.024430789,-0.013021663,0.018853342,0.052948478
259,-0.198686793,-0.099760391,-0.085507628,-0.018061696,0.025214603,-0.141821036,-0.000385421,-0.01891566,-0.046670786,-0.001462676,0.008819805,-0.064394886,-0.048452264,-0.037957897,-0.041846419,13.29614758,0.016227329,0.074292785,-0.024122165,-0.012411753,0.018411251,0.050488084
260,-0.12891201,-0.05146778,-0.112460469,-0.148838431,-0.032891171,0.020392007,-0.014128293,0.000861093,0.017380228,-0.039858093,-0.02524766,-0.017288764,-0.053015844,-0.054451038,-0.038948874,9.50204239,0.016666299,0.075095154,-0.024443415,-0.012885088,0.018978727,0.051189402
261,-0.113955364,-0.083323993,-0.017383913,-0.104924948,-0.076090008,-0.182542726,-0.032341863,-0.10927053,-0.113296746,-0.027318964,0.011849908,-0.041327122,-0.024298974,0.007442758,0.012080451,0.938912137,0.020409214,0.088402872,-0.026319091,-0.017738496,0.021098639,0.060892203
262,-0.130341491,-0.196706256,0.009865526,-0.122457121,-0.169291297,-0.008667482,-0.063409956,-0.104649075,-0.077206784,-0.003797689,-0.013859108,-0.057676922,0.014419971,0.014744418,-0.008809346,14.18547892,0.016301668,0.071343949,-0.024431277,-0.011623457,0.01792326,0.047155967
263,-0.170420244,0.013199123,-0.188510644,-0.11367784,-0.153877972,-0.095787299,-0.040263952,-0.010097694,-0.029586825,0.019898382,-0.068103607,-0.020250589,-0.038239961,0.002086812,-0.040727194,9.874393504,0.016925833,0.075926441,-0.023731716,-0.013401653,0.017901963,0.050932474
264,0.009470775,-0.022828017,0.017239151,-0.043516118,-0.05666981,-0.025113607,0.004863001,-0.022338462,-0.053026385,-0.065800087,-0.076801686,-0.065287858,0.00233168,-0.029599482,0.005396202,8.153538069,0.017832776,0.082732021,-0.025430342,-0.014547284,0.020320057,0.057398471
265,-0.095776346,-0.108514605,-0.029878332,-0.174536492,-0.04290161,0.014847003,0.017069451,-0.094872596,0.01383691,-0.040845958,-0.061126794,-0.02145028,-0.059914359,0.006059473,-0.042540965,1.588762212,0.019655677,0.084846366,-0.026046865,-0.016646342,0.021248,0.058753914
266,-0.122210483,-0.06469446,-0.135564325,-0.132610236,-0.119269984,-0.044030804,-0.10362635,0.011089674,-0.083119111,-0.035578097,-0.062431304,-0.041540718,0.015405037,-0.02290215,-0.028511609,6.711630185,0.018119594,0.079346473,-0.025285583,-0.014709464,0.019561912,0.053601281
267,-0.103657219,-0.172595116,-0.056938187,-0.136567259,0.044239323,-0.033986633,-0.060493817,-0.103958165,0.014472714,-0.002448148,0.015803832,-0.037114059,-0.012043957,-0.03072731,0.009178001,16.0325565,0.014832019,0.068894603,-0.023064462,-0.010646706,0.017018691,0.045800497
268,-0.172932566,-0.050588504,-0.158927141,0.045313672,0.018200793,-0.084833185,-0.101165456,0.009224146,-0.004993755,-0.017490247,-0.015595868,-0.05486701,0.016408461,-0.036491439,-0.01472848,1.38647605,0.019405205,0.087793805,-0.025819322,-0.017641249,0.020953027,0.061664104
269,-0.057505446,-0.145472362,-0.010167871,-0.141103788,-0.189811483,0.022806632,-0.033543353,-0.057580862,-0.087402568,0.012305417,-0.046279948,-0.040224491,-0.0015498,-0.03587094,-0.038488637,16.30642349,0.015832838,0.069784935,-0.024053793,-0.010860232,0.017745303,0.045800005
270,-0.056695563,-0.166515396,-0.194712661,-0.002686317,-0.145528108,0.0275472,-0.068787568,-0.106022194,-0.050831492,-0.013099015,0.008089259,0.004939775,-0.028380355,-0.012703909,0.008424376,17.80137168,0.015377391,0.068480414,-0.023103587,-0.010429182,0.016620594,0.044242619
271,-0.1438547,-0.066773111,-0.136600059,-0.128102325,-0.003253178,-0.148448667,-0.038328467,-0.021199411,-0.0429587,0.010362118,-0.020584105,0.010627548,0.007157899,-0.025669059,-0.049997153,14.07701668,0.015748323,0.071969763,-0.023686737,-0.011838806,0.017610007,0.048206443
272,-0.08608388,0.011660389,-0.013753844,-0.102546167,-0.078677966,0.040006339,-0.083006713,-0.1090407,-0.092504582,-0.012561171,-0.027501054,-0.008534462,-0.057155956,-0.008682611,-0.020085515,5.744805854,0.018154314,0.081534362,-0.025899681,-0.014687741,0.02057842,0.056127023
273,0.011991464,-0.044167654,0.004182758,-0.021227943,0.004131907,0.018068901,-0.113275638,-0.037950026,-0.073892608,-0.079873848,-0.02449427,-0.000873363,0.008581617,-0.016796713,0.01766995,5.76706443,0.018403808,0.083945648,-0.026261858,-0.015042159,0.021141924,0.058545999
274,-0.182913899,0.008965007,0.029112466,-0.137950149,-0.083616181,-0.165656279,-0.052669752,0.016838343,-0.004021954,-0.012336312,-0.015765016,-0.069080129,-0.030945019,-0.026515048,0.014147996,19.00604535,0.014579524,0.066004898,-0.02222494,-0.009415605,0.016046502,0.043447589
275,-0.029425019,-0.157952809,-0.175391781,-0.135621108,0.016323669,-0.129174748,-0.006286686,0.006270522,0.001098062,-0.052961989,-0.052922245,-0.07527199,-0.046969255,-0.002128844,-0.009839477,7.328368881,0.01786878,0.07970221,-0.025123356,-0.014477597,0.019392112,0.053953058
276,-0.110884916,-0.189830075,-0.079346185,-0.12347904,0.00731468,0.000632492,-0.102151704,-0.06494092,-0.093527843,0.015398243,-0.024959837,-0.060250708,0.00064714,0.016644219,-0.031660607,3.097101071,0.019431849,0.085445034,-0.026443603,-0.01704362,0.021225715,0.059164524
277,-0.189711936,0.028572415,-0.087764852,0.032501332,-0.076604772,-0.058185648,-0.058983229,-0.034781233,-0.073426558,-0.054110693,-0.073717147,0.008575889,-0.004256496,-0.006878152,0.00088739,14.50896905,0.015706543,0.072550886,-0.023698968,-0.011462902,0.017892241,0.048817035
278,-0.123496098,-0.088147014,-0.066033806,-0.050862581,0.004447703,-0.123608608,-0.051805865,-0.095526336,-0.112393649,-0.074961902,-0.044076269,-0.042596552,0.014333025,0.0014006,0.007942356,3.573756669,0.019498788,0.085635324,-0.026052303,-0.016415512,0.02077386,0.058835113
279,-0.0693942,0.007676416,-0.069657754,0.021067401,-0.072744626,-0.032545616,-0.096915458,0.01256001,-0.05941988,0.013220929,0.006835153,-0.005617682,-0.007838641,-0.016882557,-0.059206155,5.535973044,0.01807513,0.085016481,-0.025138488,-0.015911326,0.02018206,0.059608299
280,-0.059570079,-0.102964802,-0.117732322,-0.192360896,-0.035331389,-0.099737269,-0.030688105,-0.063422432,0.005349197,-0.057689471,-0.012106962,-0.077043902,0.008729306,0.015368397,-0.001920827,16.94125755,0.014954567,0.068096505,-0.022738926,-0.010413556,0.016496983,0.044425628
281,-0.139628218,-0.186929152,-0.182420143,-0.087715357,-0.060036961,-0.147637283,-0.104883698,0.014509704,0.018908313,-0.020575001,-0.051825505,0.002250878,-0.005685599,-0.031229213,-0.005798779,2.457294822,0.019265557,0.083443998,-0.025581391,-0.016716756,0.019892774,0.056864461
282,-0.106125527,-0.002747576,-0.13478599,0.025699858,-0.171492259,-0.076621423,-0.055969745,-0.093403798,-0.002365807,-0.056849727,-0.068849006,-0.055127086,-0.058910056,0.018299083,-0.031495867,16.74234361,0.01596831,0.070339074,-0.02355496,-0.010728521,0.017433244,0.045861074
283,-0.161888378,-0.081941221,-0.049354453,-0.004290542,-0.102925932,-0.015775113,-0.094587562,-0.039982527,-0.047532222,-0.006441783,-0.020142813,-0.070653122,0.00962818,0.009505713,-0.028809248,7.89347698,0.017549624,0.080129987,-0.024970137,-0.014711427,0.01961868,0.055151491
284,-0.17540268,-0.168718737,-0.03041236,-0.036857258,-0.053860387,-0.116558431,-0.039746279,-0.073480526,-0.080855889,0.009822635,-0.076159039,-0.068522409,-0.047681976,0.001326477,-0.043241144,16.25092909,0.015611743,0.070182086,-0.02361123,-0.011089543,0.017451404,0.046276598
