<ID> ,ratio[0]                ,ratio[1]                ,ratio[2]                ,ratio[3]                ,ratio[4]                ,ratio[5]                ,ratio[6]                ,ratio[7]                ,ratio[8]                ,ratio[9]                ,ratio[10]               ,ratio[11]               ,ratio[12]               ,ratio[13]               ,ratio[14]               ,ratio[15]               ,Cx,CY,CZ,CMx,CMY,CMZ
127,-0.131561616,-0.195437162,0.02610991,-0.102424462,-0.088025333,-0.024136267,-0.01584472,-0.069730905,-0.048683854,-0.066721291,0.005935649,-0.012801461,0.014658272,0.00660143,-0.006209846,17.14792211,0.014834156,0.067662623,-0.022886846,-0.010235417,0.016602665,0.044604863
128,-0.00182967,-0.049461119,-0.104676662,-0.132241212,-0.132208774,-0.199367886,-0.023303776,-0.078033879,-0.00132383,-0.057328919,-0.00272473,-0.058499654,-0.00224489,0.015001781,0.003907408,19.07876682,0.015298715,0.06794866,-0.022257691,-0.010010289,0.0158932,0.043687883
129,-0.018929553,-0.067036778,-0.170176634,-0.189590156,0.027108604,0.02196429,-0.003228777,-0.037174366,-0.01564825,-0.015476169,-0.008364295,0.019139179,0.005683097,-0.04027916,-0.009179607,3.323117097,0.018002188,0.084191459,-0.02468779,-0.016348999,0.019696641,0.058720117
130,-0.149035782,-0.052540727,-0.095877528,-0.045938237,-0.180881547,-0.019391767,-0.051098568,-0.082976778,-0.011309415,0.000371208,-0.04663839,-0.034989202,0.012535107,-0.03203802,-0.000796035,15.2144394,0.015540134,0.070586823,-0.023394853,-0.011263305,0.017246482,0.046551299
131,-0.036208003,-0.116873237,-0.120352087,-0.027612415,-0.190533303,-0.045826043,-0.00672171,-0.08588604,0.016450087,-0.068867921,-0.055300493,-0.057324977,-0.013385096,0.008627591,0.009606854,10.19328456,0.017561128,0.077654655,-0.025231367,-0.013563418,0.01911196,0.051780825
132,-0.017271124,-0.025258095,0.003543315,-0.194712881,0.008045239,-0.152640977,-0.097314953,-0.053253332,-0.07819196,-0.029241562,0.018007955,-0.017823662,-0.009995988,-0.016175213,-0.046845473,7.660203562,0.017860565,0.080271878,-0.024950596,-0.014181983,0.019410641,0.054984762
133,-0.141756653,-0.026853781,-0.198736197,-0.134014048,-0.045870752,-0.173664227,-0.06448196,-0.014503386,-0.023777084,-0.024278915,0.019096191,-0.072754772,0.00450399,-0.009775807,0.015764944,7.620567832,0.017910562,0.079008268,-0.02461244,-0.014447063,0.018811625,0.053660572
134,-0.087441415,0.0368593,-0.181578919,-0.151999726,0.032025876,-0.059680072,-0.074414117,-0.088108119,-0.041208146,-0.006890854,-0.069873774,0.004168634,-0.029395824,-0.038841773,-0.011402523,10.22932092,0.017297222,0.076617102,-0.025576821,-0.012964834,0.019683955,0.051890249
135,-0.158128098,0.024097832,-0.024498015,-0.089324457,-0.002238472,-0.01919483,-0.109597192,-0.021900726,-0.076112291,-0.074371618,-0.061828963,0.006229379,-0.015210676,0.018165915,-0.006018115,4.731471651,0.018727165,0.081749431,-0.026359818,-0.014848761,0.021027869,0.056676438
136,-0.057294296,-0.001126346,-0.192220333,-0.009488695,-0.150252672,-0.030260252,-0.053010831,-0.016194845,-0.104224137,-0.005892482,-0.042884798,-0.048843569,-0.036844251,-0.044453373,-0.000369851,9.312775193,0.017829441,0.080017718,-0.025335777,-0.014165842,0.019615576,0.054108927
