<ID>,dv_0,dv_1,dv_2,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15, Cx , CY , CZ , CMx , CMY , CMZ 
80,1.77E-02,-3.17E-02,-1.79E-01,-9.47E-02,2.76E-02,-9.74E-02,-1.15E-02,-1.07E-01,-1.02E-01,1.86E-02,-6.68E-02,-5.08E-02,-3.76E-02,-3.33E-02,-4.50E-02,-4.60E+01,0.061182,0.384062,0.010858,-0.09949,-0.00231,0.212238
81,-1.86E-01,-1.20E-01,-7.98E-02,-1.93E-01,1.75E-02,3.67E-02,-5.69E-03,-1.07E-02,-4.93E-02,3.40E-03,1.36E-02,-3.75E-02,-2.70E-03,-1.44E-03,6.86E-03,-5.00E+01,0.060965,0.50137,-0.001398,-0.139054,0.008994,0.302779
82,4.27E-02,-4.69E-02,5.25E-03,-2.44E-03,-3.19E-02,-2.49E-02,-1.17E-01,-2.47E-02,-9.20E-02,-3.93E-02,-6.92E-02,-7.24E-02,1.29E-02,1.62E-02,3.53E-03,-3.82E+01,0.064145,0.407591,-0.000101,-0.101126,0.006543,0.239208
83,-9.42E-02,-1.43E-01,-7.80E-02,-6.72E-03,-2.24E-02,-1.98E-01,-2.22E-02,-9.00E-03,-3.02E-02,-5.57E-02,-3.60E-02,-7.32E-02,-4.90E-02,-9.34E-03,-2.20E-02,-4.23E+01,0.063302,0.412893,0.006312,-0.106012,0.00227,0.242076
84,-1.02E-01,-1.15E-01,-1.42E-01,4.48E-02,-2.68E-02,-1.56E-01,-1.14E-01,-6.89E-02,6.38E-03,-7.17E-02,-4.22E-02,-2.01E-02,1.69E-02,-3.86E-02,1.61E-02,-2.01E+01,0.060516,0.412292,-0.003908,-0.103295,0.008067,0.260009
85,-3.02E-02,-2.18E-02,-8.61E-02,3.66E-02,-1.65E-01,1.33E-03,-6.54E-02,-8.74E-02,-8.55E-02,-1.56E-02,1.30E-02,-1.83E-02,1.17E-02,-5.05E-02,-5.81E-02,-2.31E+01,0.059584,0.400977,-0.004119,-0.097387,0.007669,0.245864
86,-8.83E-02,3.02E-02,-1.75E-01,-1.17E-01,1.33E-02,-1.04E-01,-9.54E-02,-3.91E-02,-1.18E-01,-6.55E-02,-6.59E-02,-1.38E-02,-2.57E-02,1.97E-02,-4.57E-02,-2.02E+01,0.058285,0.361337,0.000779,-0.087378,0.003179,0.214943
87,-1.94E-02,-1.11E-01,-1.52E-01,-2.97E-02,3.74E-02,-1.78E-01,-9.03E-02,-8.13E-02,-7.06E-02,-1.18E-02,-7.21E-02,-4.54E-02,-5.25E-02,-5.40E-02,-6.70E-03,-3.30E+01,0.062101,0.372352,0.006022,-0.092279,0.000789,0.214259
88,-8.33E-02,-1.85E-01,-1.51E-01,-1.61E-01,-1.29E-01,2.54E-02,-1.64E-02,-1.10E-01,-9.97E-02,-6.35E-02,-7.26E-02,9.11E-03,-2.20E-02,1.36E-02,3.64E-05,-4.24E+01,0.063767,0.426137,0.003835,-0.114815,0.004838,0.251863
89,-1.11E-01,-1.34E-01,-4.73E-03,-1.37E-02,-1.99E-02,-1.33E-01,-9.56E-02,-8.93E-02,1.70E-02,-6.76E-02,-2.18E-02,-3.82E-02,-1.95E-02,-1.09E-02,-3.58E-02,-4.36E+01,0.066437,0.458178,0.000743,-0.119496,0.007945,0.279523
90,-6.80E-02,-7.30E-02,-1.85E-01,1.73E-02,-7.72E-02,-1.15E-01,1.06E-02,-1.14E-01,-6.63E-02,-4.43E-02,4.45E-03,-4.94E-02,-2.76E-02,-4.13E-02,-3.92E-02,-3.25E+01,0.060593,0.382254,0.004769,-0.095217,0.001415,0.222187
91,-7.44E-02,4.42E-02,4.31E-02,-2.00E-01,-2.45E-02,-1.65E-01,-4.37E-02,-6.33E-02,1.37E-02,-1.97E-03,-5.06E-02,-2.37E-02,-3.61E-02,-7.32E-03,-7.82E-03,-3.45E+01,0.064472,0.460114,-0.004413,-0.117762,0.010453,0.287182
92,-3.99E-02,-9.79E-03,-3.79E-02,8.44E-03,-6.95E-02,4.25E-02,-3.99E-02,-4.33E-02,-7.16E-02,-2.15E-02,5.67E-03,-3.12E-02,-3.45E-02,-1.39E-03,-4.02E-02,-3.38E+01,0.062991,0.43893,-0.005238,-0.109383,0.010528,0.268795
93,3.66E-02,-1.19E-01,-9.35E-02,-1.26E-01,-4.82E-02,-1.82E-01,-4.80E-02,1.25E-03,-9.56E-02,-7.62E-02,-2.47E-03,1.98E-02,-1.13E-03,-3.04E-02,-5.27E-02,-4.26E+01,0.063136,0.440604,0.006269,-0.119858,0.001286,0.260373
94,3.04E-02,-5.73E-02,-1.17E-01,-8.56E-02,-3.46E-02,-1.10E-01,-3.57E-02,-2.75E-02,1.86E-02,-7.26E-02,-3.33E-02,1.31E-02,-1.63E-02,1.85E-02,-1.21E-02,-2.73E+01,0.063868,0.466018,-0.006798,-0.12085,0.011468,0.297937
95,-2.07E-02,-7.71E-02,3.84E-02,-1.63E-01,-7.93E-02,-8.95E-02,-1.09E-01,-4.86E-02,-2.83E-02,-3.33E-02,2.76E-03,-1.48E-02,-4.57E-02,-4.73E-02,-1.32E-02,-2.26E+01,0.062143,0.427243,-0.008113,-0.104682,0.012372,0.271188
96,2.84E-02,1.24E-02,-8.41E-02,-4.40E-02,-4.93E-02,-1.80E-01,-1.02E-01,-1.59E-02,-9.12E-02,-6.32E-02,-7.71E-02,-1.18E-02,-7.65E-03,-5.69E-02,-2.39E-02,-4.90E+01,0.064413,0.428796,0.009656,-0.116804,-0.000413,0.245622
97,-1.43E-01,-1.58E-01,2.64E-03,-1.45E-01,-4.97E-02,-1.25E-01,-9.31E-02,-4.97E-02,-2.59E-02,2.44E-03,-2.28E-02,2.56E-03,1.07E-02,-1.75E-02,-5.30E-02,-3.05E+01,0.061771,0.445436,-0.003655,-0.11384,0.009264,0.278644
98,-1.50E-01,-3.78E-02,-1.47E-01,2.14E-02,-1.32E-02,4.77E-02,-8.94E-02,-5.81E-02,-1.17E-01,4.79E-03,5.02E-03,-6.97E-02,-5.67E-02,-1.22E-02,-1.69E-02,-2.24E+01,0.058725,0.372336,-0.00255,-0.088159,0.006796,0.222199
99,4.43E-02,7.18E-03,-1.56E-01,-7.85E-02,-6.74E-02,-1.80E-01,-2.20E-02,-6.14E-02,-1.18E-01,-4.81E-03,-6.31E-02,-2.96E-02,-5.60E-02,-8.54E-03,-4.91E-02,-2.19E+01,0.057964,0.344734,0.004772,-0.082881,-0.000861,0.197721
100,-1.59E-01,-7.54E-02,-1.63E-01,-4.66E-02,-9.55E-02,1.88E-02,-1.74E-02,1.36E-02,-5.87E-02,-3.86E-02,-7.80E-02,-1.76E-02,-3.56E-03,-4.25E-02,-3.34E-02,-4.70E+01,0.06317,0.456585,0.002562,-0.122203,0.00644,0.273071
101,-1.50E-01,-8.64E-02,-1.91E-01,1.52E-02,-9.57E-02,-8.76E-02,-1.93E-02,-7.88E-02,7.00E-03,-1.72E-02,-3.05E-02,-3.99E-02,1.79E-02,2.32E-03,1.49E-02,-3.44E+01,0.061668,0.447859,-0.000605,-0.118205,0.006649,0.275258
102,-4.32E-02,-5.41E-02,4.61E-02,-1.94E-01,-1.96E-01,1.52E-02,6.59E-03,1.39E-02,4.77E-03,-1.52E-02,-5.01E-02,-7.03E-02,4.15E-03,-2.68E-02,-5.44E-02,-3.11E+01,0.063758,0.436175,-0.008141,-0.103695,0.014011,0.272907
103,-1.52E-02,2.36E-02,4.22E-02,-6.01E-02,-1.11E-01,-1.79E-01,-2.40E-02,-1.11E-01,-6.52E-02,-7.81E-03,-3.55E-03,-6.17E-02,-2.18E-02,-3.35E-02,1.85E-02,-2.68E+01,0.060642,0.398301,-0.00059,-0.098949,0.004949,0.239094
104,-2.72E-02,-1.50E-01,-7.18E-03,-1.61E-01,-6.64E-03,-5.78E-02,-3.67E-02,-3.23E-02,-1.33E-02,-4.89E-02,-6.21E-02,-2.55E-02,-1.94E-02,-2.59E-02,-3.55E-02,-4.00E+01,0.065355,0.454523,-0.002533,-0.116103,0.010215,0.279929
105,-1.07E-01,-1.57E-01,1.19E-02,1.47E-02,-1.85E-01,9.17E-03,-5.98E-02,-2.27E-02,-4.63E-02,7.07E-03,1.13E-02,1.13E-02,-1.56E-02,-5.58E-03,-5.02E-02,-2.21E+01,0.060738,0.443273,-0.009629,-0.109933,0.013404,0.28476
106,-1.68E-01,-1.83E-01,3.88E-02,5.32E-03,-9.37E-02,-3.32E-02,-1.14E-01,-9.61E-02,-4.86E-02,-4.73E-02,-6.44E-02,-2.43E-02,5.95E-03,-2.43E-02,1.05E-02,-3.91E+01,0.065593,0.436637,-0.001604,-0.112038,0.009413,0.265567
107,-5.87E-02,-5.78E-02,-1.40E-01,-8.70E-02,-6.28E-02,-3.81E-02,-1.61E-02,-1.57E-02,1.15E-02,-3.26E-02,-7.44E-02,-6.19E-02,1.73E-02,-2.44E-02,-9.54E-03,-2.67E+01,0.06183,0.424008,-0.005328,-0.103985,0.010359,0.26435
108,-6.46E-02,-1.05E-01,-5.65E-02,-1.73E-01,-1.46E-01,3.99E-02,-7.03E-02,-1.28E-02,-7.35E-02,-1.66E-02,-4.76E-02,-5.95E-02,-2.47E-03,-2.13E-02,1.20E-02,-2.07E+01,0.059186,0.395498,-0.00675,-0.094751,0.010766,0.245739
109,-6.29E-02,-1.23E-01,-6.12E-02,-1.69E-01,1.50E-02,-8.11E-02,-5.42E-03,-5.04E-02,-1.14E-01,-4.87E-02,7.02E-03,8.17E-03,-2.64E-02,9.73E-04,-7.70E-03,-3.35E+01,0.061356,0.428448,0.000261,-0.112488,0.005684,0.258925
110,-8.98E-02,-7.96E-02,-1.86E-03,-2.40E-02,-1.86E-01,-7.81E-02,4.26E-03,-8.68E-02,-8.96E-02,-3.03E-02,-5.04E-02,-6.09E-02,-4.32E-02,-3.96E-02,-2.31E-03,-3.73E+01,0.063304,0.385443,0.003779,-0.095078,0.003945,0.223112
111,-9.78E-02,-1.30E-02,-2.62E-02,-1.19E-01,-1.20E-01,5.25E-03,-6.25E-02,-8.76E-02,-1.70E-02,1.33E-02,-3.90E-02,1.69E-02,-3.86E-02,-4.55E-02,2.99E-03,-3.40E+01,0.06494,0.472108,-0.007008,-0.122115,0.013126,0.29778
112,4.60E-02,-7.46E-02,-1.50E-01,-6.53E-02,-1.12E-01,-1.93E-01,-4.08E-02,-8.84E-02,6.07E-03,-3.16E-02,-6.38E-02,-5.35E-03,-6.24E-03,-1.19E-02,-4.05E-02,-2.10E+01,0.06007,0.401227,-0.001662,-0.09973,0.005544,0.248963
113,-7.28E-02,-1.55E-01,-1.76E-01,1.38E-02,-1.92E-01,-2.17E-02,-3.40E-02,-8.56E-02,-1.93E-02,1.64E-03,-3.70E-02,1.77E-02,-4.67E-02,1.02E-02,-5.79E-02,-3.70E+01,0.063756,0.451309,-0.000536,-0.118522,0.007614,0.27731
114,-1.89E-01,6.52E-03,-1.67E-02,-6.50E-02,-1.57E-01,-1.84E-01,-2.96E-02,-3.30E-02,-1.16E-01,-3.81E-02,-2.66E-02,-6.22E-02,-3.96E-02,-1.46E-02,1.94E-02,-2.86E+01,0.06035,0.369845,0.004191,-0.092017,0.001808,0.214595
115,-2.84E-02,3.18E-02,2.38E-02,-4.88E-02,2.58E-02,-6.12E-02,-1.18E-02,-8.53E-02,-5.91E-03,-4.17E-02,-4.57E-02,-1.11E-02,-1.73E-02,-3.64E-02,-2.30E-02,-2.59E+01,0.06385,0.448037,-0.00934,-0.110142,0.013559,0.284489
116,-1.38E-01,-2.78E-02,-7.10E-02,1.50E-03,-8.99E-02,4.92E-03,-7.70E-03,-8.40E-02,-2.32E-02,-2.53E-02,-8.00E-03,-2.89E-02,-2.98E-02,5.05E-03,3.05E-03,-2.50E+01,0.061571,0.440552,-0.007882,-0.11041,0.012251,0.278845
117,-2.33E-02,4.01E-02,-5.15E-02,-4.74E-02,-1.47E-02,-5.02E-02,-8.44E-02,-1.04E-01,-4.58E-02,-2.84E-02,-2.02E-03,-4.09E-02,-1.83E-02,-2.16E-02,-5.39E-02,-3.41E+01,0.063106,0.422089,-0.002166,-0.104049,0.007782,0.254888
118,-9.23E-03,-2.93E-02,-1.04E-01,2.67E-02,1.53E-02,-1.23E-01,-1.33E-02,-9.45E-02,-9.13E-05,-3.42E-02,-4.53E-02,-3.56E-02,5.28E-03,1.13E-02,1.15E-02,-3.89E+01,0.063529,0.458456,-0.000394,-0.121223,0.006388,0.279139
119,1.98E-02,-4.24E-02,-4.97E-02,-2.84E-02,-1.77E-01,4.60E-02,-7.83E-02,-1.12E-01,-6.75E-02,-1.22E-02,-7.19E-02,-2.76E-02,-4.06E-03,-4.71E-02,4.19E-03,-4.07E+01,0.065056,0.427211,-0.000568,-0.108854,0.007788,0.254721
120,-1.06E-01,-7.89E-02,-1.23E-02,-6.94E-02,-1.36E-01,-2.30E-02,1.53E-02,-4.64E-03,-3.66E-02,-5.46E-03,-1.18E-02,-4.82E-02,-1.82E-02,-3.43E-02,2.21E-03,-3.08E+01,0.061658,0.440599,-0.00566,-0.110343,0.011015,0.273766
121,-1.41E-01,-1.86E-01,-1.84E-01,-1.62E-02,-4.65E-02,-9.85E-02,-7.78E-02,-4.44E-02,-7.88E-02,-5.67E-02,-2.58E-02,-1.71E-02,-2.10E-02,3.95E-03,-1.97E-02,-3.67E+01,0.061831,0.409896,0.004448,-0.107435,0.002927,0.24262
122,2.49E-02,-9.51E-02,-2.83E-02,-1.67E-01,-1.25E-02,-7.07E-02,-1.15E-01,8.38E-03,1.11E-02,-7.22E-02,-3.77E-02,-6.73E-03,-5.94E-02,-1.82E-02,-3.70E-02,-2.78E+01,0.065813,0.448987,-0.008491,-0.110917,0.014091,0.286268
123,2.54E-02,-1.44E-01,-1.00E-01,2.71E-02,3.82E-02,-8.63E-02,-4.71E-02,-1.42E-02,9.82E-03,-2.88E-02,-3.95E-02,-5.16E-02,-5.45E-02,-5.13E-02,1.95E-03,-2.66E+01,0.063412,0.427698,-0.00569,-0.104731,0.010642,0.267175
124,-1.51E-01,3.42E-02,-5.50E-02,-1.56E-01,-8.63E-02,-6.49E-02,-6.91E-02,-8.08E-02,-8.21E-02,-9.21E-04,-5.35E-02,-6.50E-02,-4.70E-02,-1.13E-03,1.62E-03,-3.18E+01,0.061636,0.387573,0.000684,-0.095106,0.005624,0.228604
125,-1.84E-01,-1.82E-01,-1.83E-01,-1.54E-01,-1.11E-01,-6.73E-02,-1.05E-01,1.77E-02,-3.33E-02,4.53E-03,-3.83E-02,-6.80E-02,-3.63E-02,-4.80E-02,-4.40E-03,-3.56E+01,0.061583,0.404498,0.002184,-0.101813,0.005787,0.241878
126,-1.03E-01,-1.28E-01,-3.59E-02,2.27E-02,-1.32E-01,-1.88E-01,-1.80E-02,1.14E-02,2.94E-03,-3.76E-02,1.21E-02,-7.79E-03,-2.55E-02,1.09E-02,1.63E-02,-3.12E+01,0.062968,0.470977,-0.00361,-0.12496,0.009102,0.297334
127,-1.80E-01,-3.69E-03,2.33E-02,3.47E-02,-1.33E-01,-8.44E-02,1.98E-02,1.70E-02,-3.43E-02,-8.34E-03,-3.98E-02,4.34E-03,-2.14E-02,-2.96E-02,1.44E-03,-4.45E+01,0.063919,0.502109,-0.002365,-0.136682,0.009562,0.309557
128,-2.30E-02,-6.30E-02,-1.08E-01,-1.14E-02,-1.58E-02,4.14E-02,-9.63E-02,-2.62E-02,-1.42E-02,-2.75E-03,-2.42E-02,-8.28E-03,2.96E-03,-1.28E-02,-4.83E-02,-2.26E+01,0.061455,0.445633,-0.010193,-0.109643,0.01361,0.285574
129,-6.70E-02,-5.90E-02,-4.15E-02,-9.07E-02,2.43E-02,-1.46E-02,-6.83E-02,-6.69E-02,-8.52E-02,-1.14E-02,-1.96E-02,7.00E-03,8.07E-03,1.66E-02,-5.92E-02,-3.19E+01,0.061553,0.440745,-0.003997,-0.112317,0.008917,0.271145
130,-1.51E-01,-1.31E-01,-5.07E-02,-1.85E-01,-1.93E-01,-1.17E-01,-7.03E-02,-5.02E-02,-1.18E-01,-7.94E-02,1.52E-02,-6.47E-02,-5.50E-02,-6.56E-04,-1.34E-02,-4.74E+01,0.063302,0.385755,0.011025,-0.102103,-0.000734,0.215725
131,-7.06E-02,-1.51E-01,-7.87E-02,-1.67E-02,-1.33E-01,-4.10E-02,-1.19E-01,-3.59E-02,-2.14E-02,-5.59E-03,-8.00E-02,-3.64E-02,1.44E-03,-3.54E-02,-4.53E-02,-2.36E+01,0.061161,0.402478,-0.004843,-0.096517,0.009624,0.249653
132,-1.26E-01,-1.40E-01,-1.68E-01,-1.09E-01,-1.53E-01,-1.85E-01,-7.62E-02,-6.23E-02,-5.07E-02,-5.90E-02,-1.87E-02,6.41E-03,-4.53E-02,-5.11E-02,-4.08E-02,-3.69E+01,0.063565,0.406916,0.006234,-0.106312,0.002145,0.24169
133,-1.92E-01,9.71E-04,3.03E-02,3.34E-02,8.86E-03,-1.78E-01,-7.73E-02,-9.53E-02,-1.00E-01,1.56E-02,-7.06E-06,-2.05E-02,1.24E-02,6.33E-03,-5.89E-02,-3.62E+01,0.060789,0.414121,0.003426,-0.106208,0.002392,0.243498
134,-7.02E-02,4.00E-02,3.60E-02,-3.10E-02,-1.30E-01,-1.84E-02,-8.00E-02,-1.03E-01,-9.39E-02,-1.98E-02,-3.94E-02,1.90E-02,-4.93E-02,-4.97E-02,7.70E-03,-3.72E+01,0.065776,0.440936,-0.002522,-0.113365,0.009358,0.26794
135,-1.42E-01,-3.92E-02,1.80E-02,-1.84E-01,-1.24E-01,4.71E-02,9.88E-03,-7.65E-02,-6.24E-02,-2.99E-02,-2.80E-02,-3.67E-02,-3.74E-02,-7.43E-03,4.81E-03,-4.12E+01,0.064097,0.451534,-0.003346,-0.116775,0.010743,0.274972
136,-1.20E-01,-6.12E-02,4.77E-02,2.01E-02,-6.43E-02,-1.77E-01,-9.24E-02,-7.33E-02,4.13E-04,-1.76E-02,-5.88E-02,-6.39E-02,-4.00E-02,-3.57E-02,-3.08E-03,-4.91E+01,0.065581,0.450928,0.004373,-0.119066,0.00522,0.2675
137,-9.63E-03,-1.63E-03,-1.13E-01,-1.60E-01,-1.99E-01,-1.31E-02,-5.82E-02,-6.11E-02,-8.13E-02,-4.36E-02,-7.31E-02,-5.16E-03,4.68E-03,-4.05E-02,-5.41E-02,-4.03E+01,0.063752,0.415289,0.002667,-0.106154,0.005098,0.245686
138,-3.09E-02,-4.90E-02,-1.29E-01,-1.30E-01,4.67E-02,-1.73E-01,-1.27E-02,-4.23E-02,3.48E-03,-1.10E-03,-5.36E-02,-4.90E-02,-3.09E-03,-5.94E-02,-3.49E-02,-3.76E+01,0.062543,0.429261,0.002168,-0.109143,0.004675,0.258423
139,-4.55E-02,-1.82E-01,2.52E-02,-1.07E-01,1.40E-02,-3.62E-03,9.06E-03,-1.66E-02,-7.46E-02,-6.94E-02,-7.84E-02,-5.04E-02,-3.29E-02,-2.70E-02,-4.24E-02,-3.17E+01,0.063953,0.399428,-0.003496,-0.09403,0.010296,0.241421
140,-6.66E-02,-6.83E-02,1.90E-02,-3.76E-02,-1.79E-01,-1.11E-01,-3.36E-02,-1.03E-01,-9.83E-02,-7.46E-02,-5.37E-03,-1.16E-02,-5.86E-02,-4.68E-02,-5.05E-02,-4.81E+01,0.065697,0.425148,0.007779,-0.113298,0.002238,0.245999
141,-4.21E-03,-1.35E-01,-3.67E-02,-7.12E-03,-3.67E-02,7.82E-03,-9.20E-02,-9.44E-02,-8.80E-02,9.16E-04,8.54E-03,-1.41E-02,1.10E-02,-7.61E-03,-5.09E-02,-3.54E+01,0.062013,0.435139,-0.002352,-0.11096,0.007643,0.263124
142,-7.83E-02,-5.22E-02,-4.31E-02,-1.82E-01,2.97E-02,-4.08E-03,-5.93E-02,-2.68E-02,-7.59E-03,-4.33E-02,-7.45E-03,-6.84E-02,-4.65E-02,-5.39E-02,-2.93E-02,-3.64E+01,0.065241,0.435797,-0.004555,-0.106166,0.011859,0.268482
143,-1.84E-01,-1.57E-02,7.17E-03,-1.68E-01,-1.47E-01,3.13E-02,-4.98E-02,-4.86E-02,-1.20E-02,-6.73E-02,-7.08E-02,-2.72E-02,-2.23E-02,-2.50E-02,-4.00E-03,-4.39E+01,0.067053,0.468545,-0.003688,-0.121702,0.012459,0.289743
144,-9.14E-02,2.75E-02,-7.40E-02,-6.41E-02,-1.56E-01,-2.81E-02,1.75E-02,-4.47E-02,-2.21E-02,-3.90E-02,-4.66E-03,-4.44E-02,1.67E-02,-3.12E-02,-3.73E-02,-2.58E+01,0.060839,0.425497,-0.005862,-0.104248,0.010268,0.265344
145,-2.48E-02,-1.69E-01,-1.67E-01,-9.53E-02,-1.41E-01,4.46E-02,-3.15E-02,-5.56E-02,-1.98E-02,-2.21E-02,1.57E-02,-4.86E-02,4.21E-03,-4.36E-02,1.03E-02,-4.41E+01,0.062641,0.467046,-0.000854,-0.125167,0.008096,0.283099
146,-2.13E-02,-8.51E-02,-1.97E-01,1.18E-02,-6.78E-02,-1.55E-02,-8.23E-02,5.89E-04,-2.79E-02,-7.76E-02,-3.17E-02,-7.57E-02,1.38E-02,-8.21E-03,-1.39E-02,-4.44E+01,0.063653,0.435701,0.002513,-0.113819,0.00537,0.258557
147,1.85E-02,-6.41E-02,-6.42E-02,-5.92E-02,-9.90E-03,3.70E-02,-5.70E-02,-2.72E-02,-8.07E-02,-4.23E-02,-1.04E-02,-7.12E-02,1.51E-02,-3.83E-02,6.70E-04,-4.29E+01,0.063167,0.430937,-0.000078,-0.110119,0.00711,0.254573
148,4.99E-02,-1.48E-01,-1.18E-01,-1.98E-01,-2.86E-02,1.87E-02,-2.37E-02,-4.63E-02,-7.54E-02,-4.92E-02,-7.93E-02,-2.80E-02,-4.54E-02,3.41E-03,4.52E-03,-2.37E+01,0.060954,0.401115,-0.005105,-0.098283,0.009779,0.24744
149,1.49E-02,-8.07E-02,-7.30E-02,-3.45E-02,-3.11E-02,-1.06E-01,1.51E-02,-7.54E-02,-9.64E-03,1.05E-02,-5.93E-02,-3.60E-03,-5.47E-02,-3.71E-02,8.61E-03,-4.88E+01,0.064397,0.49144,0.002149,-0.135529,0.006057,0.296296
150,-1.64E-01,3.95E-03,-1.13E-01,-1.12E-01,-1.04E-01,-6.69E-02,-3.00E-02,-5.92E-04,-8.00E-02,-2.75E-02,-6.50E-02,-4.14E-03,-3.86E-02,1.94E-03,-2.82E-02,-4.69E+01,0.06268,0.452159,0.004509,-0.123079,0.004132,0.267638
151,4.84E-02,-1.01E-01,-1.31E-01,-7.11E-02,-1.77E-02,-1.10E-01,-1.08E-01,-3.11E-02,-1.30E-02,1.50E-02,-2.34E-02,-5.88E-02,1.77E-02,-3.81E-02,-2.24E-02,-4.27E+01,0.062373,0.443202,0.002242,-0.115787,0.004455,0.264223
152,-9.25E-02,-1.09E-01,-1.04E-01,1.57E-02,-1.42E-01,-1.74E-01,-2.24E-02,-7.21E-02,-1.01E-01,-1.83E-02,-4.33E-02,-7.89E-02,-2.34E-02,-3.17E-03,-2.97E-02,-4.05E+01,0.061064,0.359733,0.011274,-0.090583,-0.003123,0.197464
153,-1.52E-01,-1.73E-01,-3.92E-03,-1.48E-01,-1.02E-01,-1.66E-01,-8.37E-02,4.03E-03,-6.67E-02,-2.30E-02,-9.31E-03,1.56E-02,-3.65E-02,1.95E-02,-1.84E-02,-2.37E+01,0.060094,0.424867,-0.003222,-0.108974,0.008125,0.267353
154,-1.35E-01,-6.67E-03,-4.09E-02,-1.65E-01,-9.18E-02,-1.49E-01,-1.07E-01,-1.70E-02,-1.09E-01,-4.94E-02,-1.84E-02,-1.13E-02,9.23E-03,-4.15E-02,-1.91E-02,-3.61E+01,0.06208,0.407619,0.003715,-0.105418,0.003127,0.240629
155,4.33E-03,-1.51E-02,-2.12E-02,-5.20E-02,-1.18E-01,-4.67E-03,-8.55E-02,-9.09E-02,-9.18E-02,1.89E-02,-2.96E-02,-3.06E-02,-4.95E-02,4.40E-03,-4.42E-02,-3.20E+01,0.06225,0.40907,-0.002284,-0.100643,0.007491,0.245168
156,3.50E-02,-2.23E-02,3.74E-02,-3.94E-02,-1.23E-01,-1.63E-01,-2.42E-02,-5.35E-02,-7.13E-02,-5.20E-02,-7.55E-02,-7.09E-02,-2.38E-02,-1.02E-04,-2.47E-02,-4.44E+01,0.064332,0.399925,0.006639,-0.101525,0.001817,0.228885
157,-6.32E-02,-1.61E-01,-9.86E-02,-6.81E-02,-4.56E-02,1.30E-02,-9.51E-02,-1.06E-01,7.26E-03,-4.51E-02,1.23E-02,-4.36E-02,-5.37E-02,-5.19E-02,-2.31E-02,-4.10E+01,0.066392,0.448958,-0.001969,-0.114129,0.010328,0.275452
158,-4.88E-02,-1.42E-01,-4.52E-02,3.04E-03,2.34E-02,-3.00E-02,-4.60E-02,-3.87E-02,-6.22E-02,-7.83E-02,-4.80E-02,-7.38E-02,-1.99E-02,-4.79E-02,-1.77E-02,-3.23E+01,0.063783,0.39275,-0.001335,-0.093169,0.008084,0.234224
159,-1.15E-01,-1.97E-01,-1.60E-01,-1.78E-01,-5.01E-02,-1.26E-01,1.09E-03,-1.13E-01,-5.24E-02,-5.94E-02,1.88E-02,1.21E-02,9.58E-03,-3.17E-02,-4.00E-02,-3.60E+01,0.061531,0.430908,0.003257,-0.114794,0.003881,0.260383
160,-8.09E-02,1.05E-02,-4.58E-02,3.20E-02,-1.62E-01,-1.57E-01,5.35E-05,-1.19E-01,-8.63E-02,-6.79E-02,-7.25E-02,1.75E-02,1.11E-02,5.90E-03,4.36E-03,-2.85E+01,0.06196,0.414025,0.000803,-0.107864,0.004347,0.250911
161,-2.92E-02,-8.46E-03,-2.67E-02,-1.19E-01,-4.46E-02,-1.42E-01,-1.15E-01,-7.24E-02,-9.17E-03,1.69E-02,-3.42E-02,-4.64E-02,7.54E-03,9.68E-03,-2.04E-02,-3.79E+01,0.062722,0.44439,-0.000617,-0.114692,0.006542,0.269547
162,3.57E-02,-1.54E-01,-9.88E-02,4.69E-02,-3.94E-02,2.16E-02,-1.12E-01,-5.41E-02,-1.00E-02,6.75E-03,6.67E-03,-6.82E-03,-4.33E-02,-4.39E-02,1.73E-02,-4.95E+01,0.065547,0.512909,-0.001916,-0.141734,0.009622,0.313139
163,4.75E-02,-9.21E-02,-1.74E-01,-1.98E-01,2.03E-02,3.86E-02,-7.58E-02,-5.31E-02,-7.97E-02,1.01E-02,-5.64E-02,-3.53E-02,-5.03E-02,1.70E-02,-1.36E-03,-2.78E+01,0.060686,0.409021,-0.003565,-0.102111,0.00831,0.249067
164,-7.25E-02,-4.18E-02,-1.86E-02,-1.15E-01,-1.68E-01,-1.81E-01,-1.03E-01,1.42E-02,9.13E-03,-4.53E-02,1.64E-02,-1.60E-02,-3.62E-03,1.15E-02,-4.78E-02,-2.48E+01,0.061609,0.443038,-0.005376,-0.112088,0.009948,0.281568
165,-5.08E-02,-1.77E-01,-6.89E-02,8.80E-03,-8.18E-02,-1.20E-01,-3.73E-02,-8.03E-02,-3.27E-02,-5.11E-03,-4.46E-02,1.34E-02,-4.41E-02,-2.50E-02,9.49E-03,-3.72E+01,0.064017,0.453419,0.000056,-0.120508,0.006852,0.277701
166,3.14E-02,-1.74E-02,-7.56E-02,-1.88E-01,1.95E-02,-1.35E-01,-1.53E-02,-4.18E-03,-3.57E-02,-1.94E-02,-9.59E-03,-3.84E-02,-2.26E-02,-5.87E-02,1.81E-02,-4.66E+01,0.062562,0.470158,0.00243,-0.127723,0.004877,0.281191
