<ID>,dv_0,dv_1,dv_2,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15, Cx , CY , CZ , CMx , CMY , CMZ 
19,-3.72E-02,-1.41E-01,-1.54E-01,-7.06E-02,-5.87E-02,-1.92E-01,-6.21E-02,-6.93E-02,-1.52E-02,-3.14E-02,-6.60E-02,8.77E-03,1.81E-02,3.32E-03,1.28E-02,-2.44E+01,0.060414,0.425528,-0.000987,-0.111471,0.005565,0.265857
20,-1.88E-01,-3.82E-02,-9.43E-02,-4.23E-02,-1.05E-01,-1.87E-01,-3.09E-02,-1.97E-02,-1.76E-03,-2.58E-02,-5.97E-03,-3.89E-02,1.12E-02,-4.77E-02,-5.22E-02,-4.35E+01,0.06255,0.454745,0.003924,-0.120757,0.004105,0.273653
21,-1.01E-01,-6.21E-02,-8.19E-02,-9.93E-02,2.17E-02,-1.12E-01,1.18E-02,-2.88E-02,1.30E-03,-4.30E-02,-1.32E-02,9.60E-03,-1.90E-03,-5.55E-02,1.01E-02,-2.74E+01,0.062659,0.464256,-0.006446,-0.119946,0.011419,0.296437
22,-1.24E-03,-1.37E-01,5.00E-02,-4.78E-02,-1.41E-01,-1.77E-01,-8.97E-02,-9.23E-04,-2.87E-02,-2.32E-02,-7.73E-02,-7.46E-02,-4.07E-02,-4.61E-02,-4.18E-02,-3.93E+01,0.065239,0.396785,0.003321,-0.095651,0.005081,0.233689
23,-1.33E-01,3.85E-02,-1.52E-02,-8.18E-02,2.31E-02,8.14E-03,-7.40E-02,-9.14E-02,-5.45E-02,-5.27E-02,-1.76E-02,3.60E-03,1.53E-02,-2.08E-02,-2.45E-02,-3.07E+01,0.063509,0.454899,-0.007563,-0.115317,0.012509,0.285406
24,2.63E-02,-2.73E-02,-2.33E-02,-2.61E-02,-1.05E-01,-1.91E-01,-3.44E-02,-8.46E-02,-1.20E-01,-3.02E-02,-3.40E-02,-7.58E-02,-1.12E-02,-4.95E-02,-3.09E-02,-3.00E+01,0.060844,0.344459,0.00693,-0.081764,-0.001203,0.191182
25,-1.18E-01,2.68E-03,-1.64E-01,-1.34E-01,-1.19E-01,-5.42E-02,-3.80E-02,-9.28E-02,8.07E-03,-7.57E-02,-6.00E-02,-2.94E-02,-4.51E-02,-4.59E-03,-2.56E-02,-3.98E+01,0.065817,0.436595,0.000819,-0.112425,0.007707,0.265955
26,-1.16E-01,-1.77E-01,3.44E-02,4.58E-03,3.35E-02,3.66E-03,1.35E-02,-9.94E-02,-8.03E-02,-1.79E-02,-4.26E-02,9.76E-03,-5.01E-02,-3.27E-03,-4.15E-02,-2.29E+01,0.061693,0.420294,-0.007817,-0.101974,0.012321,0.264196
27,-1.73E-01,2.29E-02,-1.85E-01,-8.36E-02,-1.94E-01,-4.85E-02,-1.04E-01,-9.38E-02,-9.65E-02,-4.65E-02,-6.92E-04,-5.86E-02,2.67E-03,-1.81E-02,-2.54E-02,-4.16E+01,0.061671,0.384124,0.007723,-0.099027,0.000432,0.21763
28,-5.42E-02,-1.59E-01,-1.73E-01,-8.58E-02,-1.24E-01,-4.32E-02,-3.28E-02,-8.20E-03,-1.09E-01,-6.15E-02,-1.36E-02,-6.22E-03,-4.63E-03,-5.83E-02,-2.28E-02,-3.24E+01,0.06091,0.401889,0.002129,-0.102834,0.004244,0.239272
29,-5.48E-02,2.57E-02,8.31E-03,-1.92E-01,-3.20E-02,-2.83E-03,-1.16E-01,-2.79E-02,-3.12E-02,1.73E-02,-7.00E-02,-5.42E-02,-2.31E-02,1.57E-02,-4.67E-02,-4.12E+01,0.064527,0.443462,-0.003206,-0.110806,0.010193,0.269274
30,-1.54E-01,-1.75E-01,-2.30E-02,-1.37E-01,-4.34E-02,-5.73E-02,-5.57E-02,3.88E-03,-6.00E-02,-4.08E-03,-5.46E-02,1.27E-02,1.21E-02,-2.41E-02,-1.58E-02,-3.96E+01,0.062645,0.468933,-0.001954,-0.1252,0.008976,0.288803
31,-9.70E-02,-1.56E-01,2.29E-02,-7.44E-02,-4.06E-02,-2.78E-02,-1.17E-01,-8.49E-02,-7.68E-02,1.16E-02,-7.13E-02,-3.97E-02,-1.39E-02,-3.77E-02,-5.64E-02,-2.99E+01,0.062451,0.393228,-0.002361,-0.093352,0.00835,0.236332
32,-1.66E-01,-1.66E-01,-1.46E-01,-1.83E-02,-1.49E-01,1.03E-02,-6.43E-02,1.60E-02,-5.72E-02,2.13E-03,-7.04E-02,-7.78E-02,-1.39E-03,-6.49E-03,-5.99E-02,-4.89E+01,0.061539,0.42149,0.005561,-0.10941,0.004036,0.244257
33,-1.16E-01,3.80E-02,-9.19E-02,-1.43E-01,1.01E-02,-1.76E-01,-8.15E-02,-1.08E-01,-4.32E-02,3.15E-03,-7.64E-02,-5.72E-02,1.19E-02,-5.22E-02,-2.36E-02,-4.98E+01,0.062259,0.419588,0.009407,-0.112159,-0.000127,0.239154
34,-3.40E-02,1.59E-02,2.79E-02,-6.59E-02,-2.03E-02,3.53E-02,-4.35E-02,-7.39E-02,-5.51E-02,-6.45E-02,-1.84E-03,7.93E-03,-3.91E-02,-3.52E-02,-5.86E-02,-3.75E+01,0.066597,0.462167,-0.006365,-0.116289,0.013025,0.287094
35,-1.64E-01,-7.33E-02,-6.36E-02,-1.46E-01,-1.22E-01,-1.62E-01,-2.79E-02,-1.11E-01,-3.20E-02,-1.89E-02,-1.08E-02,-5.21E-02,-3.18E-02,-4.65E-02,1.32E-02,-3.96E+01,0.062506,0.417039,0.004369,-0.10863,0.003565,0.247025
36,4.63E-02,-1.79E-01,-1.36E-01,-1.93E-01,-1.05E-02,-1.93E-01,-9.69E-02,-9.81E-02,1.78E-02,-2.57E-02,-1.26E-02,-2.91E-03,-4.28E-02,-5.78E-03,-1.30E-02,-4.39E+01,0.065124,0.46668,0.003657,-0.127724,0.004462,0.28287
37,-1.65E-01,6.18E-03,-9.97E-03,-5.17E-03,-1.59E-01,-7.29E-02,-6.65E-02,4.94E-03,-2.84E-02,-7.09E-02,2.32E-03,1.05E-02,-1.90E-02,-3.44E-02,-4.97E-02,-4.23E+01,0.065904,0.482647,-0.002131,-0.127946,0.009998,0.298907
38,-3.85E-02,-1.71E-01,-8.89E-02,-1.80E-01,-1.64E-01,-2.90E-02,-3.60E-03,-8.38E-02,1.04E-02,-4.81E-02,-7.34E-02,-4.66E-02,-5.05E-02,-3.20E-02,-1.63E-02,-4.68E+01,0.065964,0.448209,0.002326,-0.117389,0.007698,0.270336
39,-4.19E-02,-1.15E-02,-3.48E-02,-1.44E-01,-1.44E-01,-4.14E-02,-5.37E-02,-1.31E-02,-1.07E-01,-3.23E-02,6.27E-03,-3.85E-03,-5.83E-02,-2.00E-02,-9.30E-03,-3.37E+01,0.062654,0.426395,-0.001516,-0.109346,0.007556,0.258202
40,2.03E-02,3.00E-02,-1.67E-01,-1.63E-01,-1.58E-01,-1.99E-01,-3.53E-02,7.53E-03,-1.15E-01,-6.44E-02,-6.00E-03,-5.12E-02,5.01E-03,1.76E-02,-2.79E-02,-4.72E+01,0.060091,0.403887,0.012405,-0.111409,-0.004549,0.224114
41,-6.19E-02,-1.68E-01,-1.84E-01,-1.14E-01,-1.70E-01,-1.90E-01,-8.05E-03,-2.34E-02,-1.10E-01,-3.78E-02,-5.24E-02,-5.56E-02,-3.92E-02,-1.16E-02,-3.61E-02,-4.84E+01,0.060789,0.376606,0.015677,-0.101829,-0.005668,0.204641
