Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
10,0.054722222,-0.099,-0.061476464,0.187186172,0.141891952,-0.163645088,-0.111747299,0.1146525,0.004840769,-0.075342723,-0.001160198,-0.01632627,0.439673772,0.233063979,-0.058407517,0.196467764,0.248212006,-0.068186636,0.259029549,0.293119376,0.011077665,0.180452327,-0.048027048,0.088485207,0.131787437,0.179049973,0.167794495,0.110823203,0.141810026,-0.008740176,0.937082239,3.751711674,-21.59702124,3.807940245,0.667383621,3.75250297,-1.11E-06,0.00148162,-5.86E-05,21.241272,12.182644
11,0.085277778,0.2454,0.128734278,0.077153722,0.101271032,-0.035899745,0.096334791,0.10424641,-0.031462985,-0.042784894,0.016369537,-0.00888539,0.477251106,0.491023622,0.370217641,0.258811982,0.094118329,0.002951909,0.377913689,0.000359838,0.242450323,0.020298917,0.09756082,0.180885457,0.161128429,0.055629369,0.016667859,0.104064187,0.067677742,0.071152223,0.901935174,3.519158502,-20.79516466,3.573501825,0.647119928,3.51095337,6.59E-05,0.001733829,-7.86E-05,20.4003967,12.559319
12,0.063888889,0.2034,0.056203861,0.187554514,-0.167200613,0.117799335,0.01542172,-0.06081798,0.06565164,-0.139666085,-0.085949281,-0.063435052,0.296470492,0.113333089,0.237428047,0.390836476,0.111825095,0.368011677,0.315127038,0.39792146,0.106657153,0.189489951,0.028868276,0.233004949,0.151175219,0.190134845,-0.019367472,0.038570336,0.031670196,0.061738206,0.936795222,3.511593805,-20.51634141,3.56838727,0.685169584,3.53040725,-4.66E-05,0.001270262,0.000241155,20.3054924,13.50734
13,-0.064444444,0.153,-0.05414313,0.154791612,0.032941839,0.110313381,-0.002987231,0.016733596,-0.169984761,-0.195722479,-0.032198816,-0.130069563,0.003531598,0.272371722,0.185243432,0.092758726,0.012700328,0.041642203,0.013906228,0.052771628,0.085817957,0.160600729,0.118059018,0.200230677,0.158603502,-0.014615764,0.148953596,0.041504127,0.036015571,0.01000183,0.969557315,4.034406436,-23.51102693,4.092211723,0.680726436,4.03235618,9.46E-05,0.002424681,-0.00058802,23.1550879,10.722677
14,0.222777778,0.0648,-0.009429076,0.14264528,-0.207624019,-0.127841718,-0.062313766,0.102420109,0.064403292,-0.042448215,-0.136569086,-0.061767324,0.171062704,0.373461374,0.216372947,0.294294583,0.300244636,0.10966807,0.094056804,0.118155338,0.147100744,0.038730615,0.01087584,0.186962678,0.156941101,0.194393293,-0.018097428,0.081665509,0.021721302,-0.013981009,0.874125413,3.645100336,-20.67745971,3.69719696,0.613809494,3.66395103,-5.86E-05,0.000556417,0.000627104,20.4990265,12.389441
15,0.341944444,0.132,0.137363867,-0.181955722,0.124369437,-0.133978063,-0.01298236,-0.04612205,0.032471894,-0.17948665,-0.075517577,-0.101875175,0.352030523,0.216115226,-0.027137906,0.133617425,0.331662973,0.125813164,-0.050484831,0.169935476,-0.047148422,0.098509579,0.129997171,0.166062788,0.023688609,0.07697178,0.123675536,-0.01062615,0.097674126,0.08237119,1.007587131,3.93661622,-22.88732156,3.997312546,0.724715785,3.94684584,3.16E-05,0.002205938,-0.000279726,22.5755861,10.810217
16,-0.027777778,0.3,0.01605794,-0.048700219,-0.131114757,0.006311225,0.020266668,0.03670698,-0.13215584,-0.148195125,-0.093625865,-0.12948782,0.441310931,-0.078139791,-0.038887544,0.225184979,0.307694458,0.141384573,0.04092074,0.383671467,0.083613857,0.012613185,0.271515302,0.278371786,-0.009424138,0.116489611,0.068016983,0.099970318,0.101735501,0.027348278,1.089912961,3.818769509,-22.16186659,3.885495663,0.813084111,3.85059848,0.000124387,0.002701389,-0.000597398,21.978465,12.108327
17,-0.073611111,0.0606,-0.064175971,0.184844537,0.245177891,0.029190771,-0.005869875,0.091214221,0.063043204,-0.027509405,0.025084975,-0.04440454,-0.089951353,0.348237294,-0.028586713,0.125265089,0.028733235,0.064372822,0.147239141,-0.031638507,0.032341823,0.01983748,0.255448549,-0.013025061,0.07659889,-0.016307657,0.094393908,0.171312272,0.136856935,0.032618145,0.892775659,3.760741413,-21.46662544,3.813857317,0.621479175,3.75912938,0.00010946,0.000886971,-0.000563279,21.1488741,9.971555
18,-0.140833333,0.0312,0.167380117,-0.02536571,0.082165057,0.065246094,0.023915149,-0.10033342,-0.109872244,0.019194512,-0.082156166,-0.004444647,0.119431984,0.193555183,0.261620332,0.095884409,0.116053415,0.232332489,0.226736942,0.181219606,0.115596295,0.095313321,0.279948567,0.203792912,0.06654955,0.015946296,-0.034117912,0.07180191,-0.000600612,0.027910051,1.063926334,3.965706984,-23.29470839,4.03026247,0.779704483,3.99075907,-3.23E-06,0.001646776,0.000151204,23.0886762,12.278894
19,-0.070555556,0.237,0.108934449,-0.127711831,-0.240859343,-0.074946727,0.048644726,-0.11646254,-0.129665622,0.022080998,-0.147585396,-0.025415865,0.262223606,0.32764079,0.328722762,0.19416563,-0.021929841,0.332853739,0.075939158,0.326632764,0.129997632,0.016767958,0.217161456,0.014401085,0.191302053,0.127191125,0.103719155,0.10599511,0.00770138,-0.013161135,1.128997672,3.794170498,-21.99715742,3.863682985,0.854507122,3.84708711,-5.99E-06,0.004287795,0.00027971,21.9541786,13.488086
